Publication Type,Title,Authors,Creation Date
Other Publication,"REE-3, a certified reference for an ore with rare earth elements and zirconium ",Maureen Leaver,2018-04-17
Other Publication,New Test Method II  - Development of a Laboratory Procedure for Testing Ground Support in Shear,Renée Royer,2018-03-20
Other Publication,One Industry's Waste is Another Industry's Resource,Sean Langley and Suzanne Beauchemin,2017-12-07
Other Publication,Summary of CMIN research at Vale 2016-2018: III Willows,"Bryan Tisch, Suzanne Beauchemin, Joyce Clemente, Sean Langley",2017-09-29
Other Publication,Inventory of Technical Expertise for Chromite in Canada - Hatch ,Bryan Tisch ,2017-03-17
Other Publication,Review of Environmental Practices for the Management of Cr (VI) in the Chromite Mining and Smelting Industry: relevance to the development of the Ring of fire - Hatch,Bryan Tisch ,2017-03-17
Other Publication,The impact of duct friction factors and leakage in design of auxiliary ventilation systems,Michelle Levesque,2016-05-12
Other Publication,"Innovation in Mine Water Management: Remote, Real-time Sensors for Water Quality Monitoring",Philippa Huntsman-Mapila,2016-04-22
Other Publication,Development of Analytical Capabilities in Genomics and Application to the Study of Mine Tailings Reclamation,Sean Langley,2016-04-05
Other Publication,Evaluation of different membrane separation processes for treatment of Acid Mine Drainage and Mine effluents,Saviz Mortazavi,2016-03-19
Other Publication,Application of Ceramic Membranes in Treatment of Oil Sand Produced Water,Saviz Mortazavi,2016-03-18
Other Publication,Preliminary Investigation on the Aerosolizable Fraction of Biochar ,Suzanne Beauchemin,2016-02-06
Other Publication,Source and Distribution of Naturally Occurring Arsenic in Groundwater from Alberta’s Southern Oil Sands Regions ,Yves Thibault,2016-01-28
Other Publication, Reductive Dissolution of Arsenical Ferrihydrite by Bacteria ,Dogan Paktunc,2016-01-27
Other Publication,Reductive Dissolution of Scorodite in the Presence of Shewanella sp. CN32 and Shewanella sp. ANA-3 ,Dogan Paktunc,2016-01-27
Other Publication,"The Mineral and Aqueous Evolution of Sulfur and Nickel with Weathering of Pyrrhotite in a Low Sulfide, Granitic Waste Rock ",Dogan Paktunc,2016-01-27
Other Publication,Comments on the paper entitled “Radionuclide release from simulated waste material after biogeochemical leaching of uraniferous mineral sample,Nand Davé,2015-11-09
Other Publication,Comments on the paper entitled “Radionuclide release from simulated waste material after biogeochemical leaching of uraniferous mineral samples” ,Nand Davé,2015-09-11
Other Publication,Biological Recovery of Freshwater and Marine Habitats Containing Submerged Mine Tailings,Nand Dave,2015-06-25
Other Publication,The Assessment Of Specialized Clothing Worn By Underground Miners And Its Heat Stress Management Implications,Stephen Hardcastle,2015-06-18
Other Publication,Sequential Extraction of Radium from Uranium Mine Tailings,J.F. Fiset,2015-05-08
Other Publication,Mounting of Co cathode sections in Epofix for T/D examination,"Huntsman-Mapila, Philippa",2015-02-17
Other Publication,Proposal for a Four Year Production Plan for Canadian Certified Reference Materials Project,"Leaver, Maureen",2015-01-13
Other Publication,Potential of Biochar for Reclaiming Mine Tailings: Summary Report of the Basic Properties of Thirteen Biochars,"Beauchemin, Suzanne",2014-04-17
Other Publication,REE-1:  Preparation of a Certified Reference Material,"Leaver, Maureen",2014-04-03
Poster,Lichens as dust and air quality biomonitors at a contaminated mine site in Nova Scotia,"Michael Smith, Linda Campbell (Saint Mary's University), Gauri Prabhakar (CMIN",2020-10-29
Poster,Stability of Ring of Fire Slag and its Potential as a Construction Material,Dogan Paktunc,2020-09-01
Poster,Understanding Cr oxidation in ferrochrome smelter dusts,Eleanor Berryman,2020-01-28
Poster,Stability of Ring of Fire slag and its potential as a construction material,"Eleanor Berryman, Dogan Paktunc, Tanai Marin",2020-01-06
Poster,Gallium – Too Little to Keep or Too Much to Waste?,"Terry Cheng, Jennifer Evans",2020-01-03
Poster,Tracking Dust Under a Changing Climate: Investigating the environmental fate and effect of dust-bound metals from abandoned mine sites ,"Carrie Rickwood, Philippa Huntsman, Stephanie Desisto, Amy Cleaver, Heather Jamieson",2019-11-19
Poster,Use of remote sensors to monitor changes in water quality in a metal-contaminated stream,Carrie Rickwood,2019-11-19
Poster,Effects of tailings dust on surface water chemistry,"Amy Cleaver, Heather Jamieson, Carrie Rickwood, Philippa Huntsman",2019-10-29
Poster,Tracking water quality in a changing climate,"C. B. Miller, Philippa Huntsman, R. F. Bouwhuis, Carrie Rickwood",2019-10-28
Poster,Big Data and AI platform for mining,Michelle Levesque,2019-04-08
Poster,Design of a magnetic adsorbent bearing Schiff base ligand as a highly efficient removal technique for uranium in aqueous solutions,Laurence Whitty Leveillé,2019-02-27
Poster,Machine Learning for Microseismic Event Classification,Todd McDonald,2019-02-06
Poster,Use of Data Analytical Tools in Techno-economic Assessment (TEA) on Tailings Reprocessing Options based on Published Mine Data,Terry Cheng,2019-02-06
Poster,AI FOR IMPROVING THE EXPLORATION TO PRODUCTION PROCESS IN MINING ,Michelle Levesque,2019-02-05
Poster,APPLICATION OF EMERGING DIGITAL TECHNOLOGIES IN THE MINING SECTOR,Michelle Levesque,2019-02-05
Poster,Design of a magnetic adsorbent bearing schiff base ligand as a highly efficient removal technique for uranium in leaching solutions,"Laurence Whitty-Leveille, Nicolas Reynier, Dominic Lariviere",2019-01-17
Poster,Separation of Lanthanides and Actinides Using Ion Exchange from Sulfate and Nitric REE leachate,"Maxime Courchesne, Cheryl Laviolette, Nicolas Reynier, Dominic Lariviere",2019-01-17
Poster,Improving Energy Performance in the Mining Sector using the NRCan Benchmarking Program and Artificial Intelligence ,Michelle Levesque,2018-11-13
Poster,Selenate versus selenite - uptake by algae and trophic-transfer to Daphnia magna,"Rickwood, Carrie; King, Morgan; Suominen, Emily; Prabhakar, Gauri",2018-11-07
Poster,Impacts of water Table Level on Mine Waste Management Using a Saturated Cover,"Nicolas Reynier, Roselyne Gagne-Turcotte",2018-10-30
Poster,Gold Recovery and Liability Reduction from Reprocessing Historical Mine Tailings in Nova Scotia,"Terry Cheng, Michael Parsons",2018-09-11
Poster,Green processing of Canadian REE ores by combining attrition and lixiviation,"Nicolas Reynier, Cheryl Laviolette, Magella Bilodeau, André Demers",2017-05-19
Poster,Removal of Metals from the Water Column under Transformation/Dissolution Conditions for Chronic Hazard Classification ,"Philippa Huntsman-Mapila, Rob Beaudoin",2017-04-27
Poster,Retrospectively assessing a historical reclaimed mining site for carbon benefits ,Suzanne Beauchemin,2017-02-03
Poster,Accelerated leaching and recovery process for actinides-free separation of rare earth element,Whittey-Lévéillé,2016-07-01
Poster,Application of the Transformation/Dissolution Protocol to determine the rate and extent of removal of metals from the water column for chronic hazard classification.,Philippa Huntsman-Mapila,2015-11-17
Poster,Examination of the Removal of Metals from the Water Column under Transformation/Dissolution Conditions for Chronic Aquatic Hazard Classification.,Philippa Huntsman-Mapila,2015-10-28
Poster,RECOVERY OF RARE EARTH ELEMENTS FROM MINING AND MINERAL PROCESSING,Rory Cameron,2015-10-08
Poster,A new approach to the aquatic hazard classification of massive-form metals,Philippa Huntsman-Mapila,2015-09-25
Poster,Stirred-tank Bioleaching of Pyrrhotite Tailings,"Cameron, Rory",2015-02-04
Poster,Microbial Community in Acidic Tailings Reclaimed with Organic Cover,"Clemente, Joyce",2015-01-27
Poster,Metal Sequestration in biochar suspensions,"Clemente, Joyce",2014-06-05
Poster,Determining the effect of a reduced YCT diet on the Ceriodaphnia dubia sub-lethal toxicity test in soft water in relation to the MMER-EEM Program.,"King, Morgan",2014-05-26
Poster,Strategy for Efficient High-spatial Resolution X-ray Microanalysis of Trace REE in Complex Systems,"Thibault, Yves",2014-04-24
Presentation,Assessing the fate of metal-bearing tailings dust from two abandoned mine sites,"Michael Smith, Linda Campbell",2021-02-23
Presentation,Streamlining the mine permitting process,"Laura Thomas, Michelle Levesque, Rawya Tsuji",2021-02-12
Presentation,Evaluating the transport and fate of metal-bearing tailings dust into surface water: Focus on Cd deposition ,"Amy Cleaver, Philippa Huntsman, Carrie Rickwood ",2021-02-10
Presentation,Understanding Ground Support Behavious for Improved Mine Safety: A Review of Static and Dynamic Testing at CanmetMINING's Ground Control Lab,"Devan MacDonald, Steve Gaines",2021-01-18
Presentation,Optimization of a Green Eluent for Scandium with Significantly Improved Elution Efficiency,Mehdi Mostajeran and Rory Cameron,2021-01-07
Presentation,Concept presentation: Mining complex waste heat recovery,Yan Germain,2020-12-02
Presentation,Présentation de concept :Récupération de chaleur sur les complexes miniers,Enrique Acuna-Duhart,2020-12-02
Presentation,Digital Streamlining Technologies for Mining Regulatory Processes Workshop Report,"Laura Thomas, Rawya Tsuji, Julie Deriaz, Emmalie Tomini, Michelle Levesque",2020-11-27
Presentation,Windblown Tailings Dust as a Source of Metal to Surface Water  ,"Heather Jamieson, Amy Cleaver, Philippa Huntsman, Carrie Rickwood, Alex Bailey",2020-11-26
Presentation,Smart Support for Better Ground Control,"Yves Quenneville, NRC; Zhigang Sun, NRC; Renée Royer, CMIN; Lindsay Smith-Boughner, ESG Solutions",2020-11-16
Presentation,Development of new laboratory methods on ground support for underground mining applications,Devan MacDonald and William Render,2020-11-12
Presentation,Digital Streamlining Technologies for Mining Regulatory Processes,Emmalie Tomini Connie Smith,2020-11-04
Presentation,Draft Canadian Federal Water Quality Guidelines for Rare Earth Elements,"Sushil Dixit (ECCC), Josh Baker and James Elphick (Nautilus Environmental)",2020-10-27
Presentation,A 47 Year – Reputation for Excellence: Canadian Certified Reference Materials Project and Proficiency Testing Program – Mineral Analysis Laboratories,"Maureen Leaver, Diane Desrochers, Jeffrey Scott",2020-10-13
Presentation,Where There's a Wheel There's a Way,"John Le, Enrique Acuna-Duhart, Mark Goode",2020-10-07
Presentation,REE solubility and the influence of food in chronic toxicity testing,"Josh Baker, Karen Lee, James Elphick (Nautilus - external)",2020-09-30
Presentation,Toxicity of REEs and the issue of solubility,"Josh Baker, Karen Lee, James Elphick (Nautilus - external)",2020-09-30
Presentation,CCRMP and PTP-MAL Highlights FY 2019 to 2020 for Technical Advisory Committee,"Maureen Leaver, Diane Desroches and Jeffrey Scott",2020-09-24
Presentation,Streamlining Regulatory Review of  Mining Projects,Connie Smith,2020-09-14
Presentation,Cr oxidation in Ring of Fire ferrochrome smelter dusts,Dogan Paktunc,2020-09-01
Presentation,Cr(VI) in ferrochrome smelter dusts from pilot-scale DC arc furnace,"Eleanor Berryman, Dogan Paktunc, David Kingston",2020-05-27
Presentation,An Approach to Monitoring Dust in Environmentally Sensitive Areas,"Angela Pickett, Philippa Huntsman, Peter WHite, Carrie RIckwood",2020-04-23
Presentation,Developing Data Driven Planning Strategies for Haulage Fleet,"Emmalie Tomini, John Le, Enrique Acuna",2020-04-01
Presentation,Recovery options for iron and sulphur produced during nickel extraction from (bio)leaching of pyrrhotite tailings,"Joanne Gamage McEvoy, Yves Thibault, Suzanne Beauchemin",2020-03-04
Presentation,Alternative to acid baking water leaching:  Acid soaking water leaching of REE bearing ore samples,"Chen Xia, Wesley Griffith, Ceferino Soriano, Eden Barry",2020-01-13
Presentation,Cr oxidation in Ring of Fire ferrochrome smelter dusts,"Eleanor Berryman, Dogan Paktunc, David Kingston",2020-01-06
Presentation,Quantifying the extent of metallization following the Direct Reduction of Chromite (DRC),"Nail R. Zagrtdenov, Dogan Paktunc, Nasseh Khodaie, Eleanor Berryman",2020-01-06
Presentation,THE PROGRESS FOR THE APPLICATION OF HYDROGEN POWER FOR UNDERGROUND MINING VEHICLES,Dr. Marc Bétournay,2019-11-28
Presentation,Towards Deployment of Vehicle Hydrogen Power by the Canadian Mining Industry,Dr Marc Bétournay,2019-11-26
Presentation,The issue of REE solubility in determining toxicity thresholds,"Carrie Rickwood, Josh Baker, James Elphick",2019-11-19
Presentation,Lignes directrices de l'utilisation de l'hydrogène dans les mines,"Gilles LeBlanc, Marc Bétournay",2019-11-14
Presentation,Investigating climate change impacts on metal contaminated sediments,"Carrie Rickwood, Stephanie DeSisto, Emily Suominen, Philippa Huntsman",2019-11-04
Presentation,Understanding the fate and effects of metal-bound dusts at abondoned mine sites,"Carrie Rickwood, Heather Jamieson, Amy Cleaver, Philippa Huntsman",2019-11-04
Presentation,An overview of the findings of using a high-performance synthetic cable for mine hoisting,Martin Cote,2019-10-21
Presentation,Use of biomonitoring and remote sensing to track mine dust in a changing climate,"Philippa Huntsman, Carrie Rickwood",2019-10-17
Presentation,A Quick Introduction to Sulphidic Rock Drainage at Mine Sites,Bill Price,2019-10-16
Presentation,Ecosystem risk management for mines in Canada: Adapting to a changing climate ,Philippa Huntsman   Carrie Rickwood,2019-10-08
Presentation,New Tech - The Green Mines of Tomorrow ,Janice Zinck,2019-10-07
Presentation,Contribution of CCRMP to REE Analysis,Maureen Leaver,2019-10-03
Presentation,Mining Innovation Imperative,Janice Zinck,2019-10-01
Presentation,Summary of Worldwide Underground  Mine Diesel Regulations,Mahe Gangal,2019-10-01
Presentation,Canada’s REE R&D Program,Janice Zinck and Bryan Tisch,2019-09-24
Presentation,Recycling of Thickener Tank Overflow Stream at a North American Concentrator,"T. Di Feo, S. Mortazavi, L. Morin and A. Demers",2019-09-12
Presentation,Development and testing of the CMIN-BCM for monitoring borehole closure in underground environments,"Steven Gaines, Ken Judge, Denis Labrie",2019-09-04
Presentation,CCRMP and PTP-MAL Highlights ,"Maureen Leaver, Diane Desroches and Lyne Lortie ",2019-08-06
Presentation,Machine Learning for Microseismic Event Classification,"Michelle Levesque, Todd McDonald",2019-08-06
Presentation,Environmental risk management for mines in Canada: Adapting to a changing climate,Philippa Huntsman and Carrie Rickwood,2019-07-25
Presentation,Application of High Performance Synthetic Ropes for Mine Hoisting,Martin Côté,2019-07-19
Presentation,A promising approach to accelerate rehabilitation and generate value from sulfidic tailings,"Bryan Tisch, Suzanne Beauchemin, Sean Langley and Juha Metsaranta",2019-06-12
Presentation,Optimizing Zr and REE recovery from zircon through a better understanding of the mechanisms governing its decomposition in alkali media,"Yves Thibault, Joanne Gamage McEvoy and Dominique Duguay",2019-06-10
Presentation,Crushing the Consumption Conundrum,Janice Zinck,2019-05-02
Presentation,A promising approach to accelerate rehabilitation and generate value from sulfidic tailings,"Bryan Tisch, Suzanne Beauchemin, Sean Langley, Juha Metsaranta",2019-04-26
Presentation,Mining Value from Waste - Building a pan-Canadian effort,Bryan Tisch ,2019-04-26
Presentation,Big Data and AI Platform for mining,Michelle Levesque,2019-04-25
Presentation,Developing a process to recover rare earth elements and scandium from coal fly ash,"Rory Cameron, Yves Thibault, Rolando Lastra, Alain Bilodeau, Jean-Michel Bondy",2019-04-10
Presentation,Reducing energy and GHG emissions in mining,Michelle Levesque,2019-04-05
Presentation,Tracking water quality in a changing climate,"Miller C, Huntsman P, Bouwhuis R, Rickwood C",2019-04-02
Presentation,Canadian Rare Earth Elements R&D Program,"Janice Zinck, Bryan Tisch, Ian London (CREEN)",2019-03-10
Presentation,Cumulative effects of sediment resuspension events – the impact of climate change on sediment-bound metals ,"Stephanie DeSisto, Carrie Rickwood, Philippa Huntsman",2019-03-06
Presentation,Geochemical response of contaminated lake sediments to climate change associated storm resuspension,Stephanie DeSisto,2019-03-06
Presentation,Impact of metal-bearing lake sediment resuspension events under future climate change scenarios ,Stephanie DeSisto,2019-03-06
Presentation,Mineralogical and hydrogeochemical review of abandoned gold mine sites in Nova Scotia,Stephanie DeSisto,2019-03-06
Presentation,Canadian mining innovation: Advancing through collaboration and sustainability,Janice Zinck,2019-03-01
Presentation,Canadian mining innovation: Advancing through collaboration and sustainability,Janice Zinck,2019-03-01
Presentation,Fast Growing Willows and Organic Covers,Bryan Tisch ,2019-03-01
Presentation,Mining Value from Waste,Bryan Tisch ,2019-03-01
Presentation,Mining Value from Waste: Transitioning to a Circular and Low Carbon Economy,Bryan Tisch ,2019-03-01
Presentation,Mining Value from Waste: Transitioning to a Circular and Low Carbon Economy,Janice Zinck,2019-03-01
Presentation,Overview of Canadian Chomite R&D Program,Bryan Tisch ,2019-03-01
Presentation,Transforming Risk into Opportunity,Janice Zinck,2019-03-01
Presentation,Experimental assessment of brine and impure CO2 leakage through well cements at reservoir conditions,Nadia Shafie Zadeh,2019-02-27
Presentation,"focus on improvement in near-zero emission power, steam and heat generation systems",Nadia Shafie Zadeh,2019-02-27
Presentation,Investigating climate change impacts on metal contaminated sediments,Carrie Rickwood ,2019-02-27
Presentation,Ministry Of Labour Ventilation Hygiene Sub-committee Meeting invitation to make presentation on “Diesel Certification and Approval for Underground Mining Engines in Canada”.,Brent Rubeli,2019-02-27
Presentation,NRCan Se research update,Carrie Rickwood ,2019-02-27
Presentation,Récupération de chaleur sur l’eau de procédé d’un concentrateur minier ,Yan Germain,2019-02-27
Presentation,Reprocessing of Gold Mine Tailings,Terry Cheng,2019-02-27
Presentation,Towards sustainable development of the Ring of Fire chromite resources,Dogan Paktunc,2019-02-27
Presentation,"Tracking dust under a changing climate: Coupling biogeochemistry, mineralogy and toxicity to assess cumulative mine site impacts",Carrie Rickwood ,2019-02-27
Presentation,Understanding the fate and effects of metal-bound dusts at abandoned mine sites,Carrie Rickwood ,2019-02-27
Presentation,NRCan Annual Metal Leaching Acid Rock Drainage Field School ,Bill Price,2019-02-21
Presentation,REE recovery from secondary sources,Rory Cameron,2019-02-11
Presentation,Mining Disrupted: A Guide to Finding the Upside,Janice Zinck,2019-02-07
Presentation,Developing a process to recover rare earth elements and scandium from coal fly ash ,Rory Cameron,2019-02-06
Presentation,Canadian Certified Reference Materials Project and Proficiency Testing Program – Mineral Analysis Laboratories,Maureen Leaver,2019-02-04
Presentation,Environmental risk management for mines in Canada: Adapting to a climate change ,"Philippa Huntsman, Carrie Rickwood",2019-01-15
Presentation,REE recovery from secondary sources (Dec. 2018),Rory Cameron,2018-12-10
Presentation,Organic Covers on Tailings: Effects and Economic Returns,"Sean Langley, Suzanne Beauchemin, Bryan Tisch, Joyce Clemente",2018-11-21
Presentation,Removal of Metals from the Water Column for Chronic Hazard Classification: Rationale for selecting test parameters in the extended transformation dissolution protocol ,"Huntsman, Philippa; Beaudoin, R.; Rader, K. J.; Carbonaro, R. F.; Hudson, M.; Burton, G. A.; Baken, ",2018-11-08
Presentation,Canadian mining innovation: Advancing through collaboration and sustainability,Janice Zinck,2018-11-04
Presentation,Green Mining: Oxymoron or Opportunity,Janice Zinck,2018-10-30
Presentation,Transforming Risk into Opportunity,Janice Zinck,2018-10-25
Presentation,Impacts of climate change on mine wastes management by saturated and water covers,Nicolas Reynier,2018-10-22
Presentation,Ventilation Constraint Solutions - Meet Airflow Demand for Specified Mine Operation Scenarios,Gary Li,2018-10-09
Presentation,CCRMP and PTP-MAL Highlights 2017-2018,"D. Desroches, M. Leaver, L. Lortie",2018-09-21
Presentation,Électrification : les bénéfices de l'adoption des véhicules miniers électriques,Michelle Levesque,2018-09-11
Presentation,Update on the NRCan Mine Energy Benchmarking Program,Michelle Levesque,2018-09-06
Presentation,Microwave-assisted mechanical equipment in mining industry,Pejman Nekoovaght,2018-06-27
Presentation,"Microwave-Assisted Acid Digestion for the Determination of Al, Cr, Fe, Mg and Si in Chromite Samples by ICP-OES","Ruping Wang, Duane Palmer, Marchin Pawlak, Stephen Rennick",2018-06-08
Presentation,Mining Value from waste: From concept to reality,"Rory Cameron, Janice Zinck",2018-05-29
Presentation,Ceramic membrane application in recovery and recycling of water in oil sands operations,"Saviz Mortazavi, Charbel Atallah, André Tremblay, Alex Doiron, Matthew Hudder",2018-05-28
Presentation,CMIN research at Vale: Summary for 2015-2017 and proposal for 2018-2021,Sean Langley,2018-05-09
Presentation,Growing hybrid willows on tailings: A viable approach?,Suzanne Beauchemin,2018-04-25
Presentation,REE recovery from secondary sources (April. 2018),Rory Cameron,2018-04-24
Presentation,Microwave-assisted mechanical equipment in mining industry,Pejman Nekoovaght,2018-04-09
Presentation,Fast-growing willows and organic cover: A promising approach to accelerate rehabilitation and generate value from sulfidic tailings?,Suzanne Beauchemin,2018-04-04
Presentation,Going undercover to remediate historical gold mine waste ,Stephanie DeSisto,2018-03-27
Presentation,Ceramic membrane application in recovery and recycling of water in in-situ oil sands operations,"Saviz Mortazavi, Charbel Atallah, André Tremblay, Alex Doiron",2018-03-15
Presentation,Greenhouse Gas (GHG) Emissions from Underground Mining Engines ,"Brent Rubeli, Mahe Gangal, David Young",2018-03-15
Presentation,The NRCan Energy Benchmarking Program,Michelle Levesque,2018-03-15
Presentation,Fast-growing willows and organic cover: A promising approach to accelerate rehabilitation and generate value from sulfidic tailings?,"Bryan Tisch, Suzanne Beauchemin, Joyce Clemente, Sean Langley,Juha Metsaranta",2018-02-06
Presentation,Adapting to a changing climate: implications for mine water management,Philippa Huntsman-Mapila,2018-01-25
Presentation,The Fate and Effects of Metals in a Changing Climate - the Impacts of Extreme Events,"Carrie Rickwood, Philippa Huntsman-Mapila",2018-01-25
Presentation,The Fate and Effects of Metals in a Changing Climate - the Impacts of Extreme Events,"Carrie Rickwood, Philippa Huntsman-Mapila",2018-01-25
Presentation,Hydrogen Mine Introduction Initiative Consortium – Project 3 Hydrogen leak behaviour in simulated underground conditions,Gilles Leblanc,2017-12-20
Presentation,Présentation de conception : Récupération de chaleur sur l’eau de procédé de concentrateur minier ,Yan Germain,2017-12-20
Presentation,Mining Value from Waste Reducing Liabilities & Recovering Values ,Terry Cheng,2017-12-14
Presentation,Benchmarking Mine Data to Reduce Operating Costs,Michelle Levesque,2017-12-11
Presentation,Potential impact of CC on the bio-geochemistry of mine tailings and current reclamation approaches,"Joyce Clemente, S. Beauchemin, Nicolas Reynier, Sean Langley",2017-12-08
Presentation,Benchmarking Mine Energy Data to Reduce Emissions and Costs,Michelle Levesque,2017-11-24
Presentation,Examining Maternal Transfer of Selenium in Daphnids Using Laser Ablation ICP-MS ,Carrie Rickwood ,2017-11-07
Presentation,Mine Energy Benchmarking Program,Michelle Levesque,2017-11-02
Presentation,CCRMP and PTP-MAL Highlights 2016-2017 ,"D. Desroches, M. Leaver, Lyne Lortie",2017-10-19
Presentation,Critical Metals: Resources and Technology - A Canadian Perspective,Janice Zinck,2017-10-16
Presentation,Les véhicules miniers électriques…un tour d'horizon ,André Harvey,2017-10-10
Presentation,Greenhouse Gas Emissions From Underground Mining Diesel Engines ,Brent Rubeli,2017-09-27
Presentation,Summary of CMIN research at Vale 2016-2018: II Microbiological component,Sean Langley and Suzanne Beauchemin,2017-09-26
Presentation,Summary of CMIN research at Vale 2016-2018: I Geochemical component,"Suzanne Beauchemin, Sean Langley, Joyce Clemente, B. Tisch",2017-09-25
Presentation,Goldex Shaft #1 Synthetic Rope Mine Holsting Field Trial,Martin Cote,2017-09-20
Presentation,Observations on CCRMP and PTP-MAL Data,"D. Desroches, M. Leaver",2017-08-29
Presentation,Promoting early REE separation during ore leaching: an investigation through controlled synthetic crystal dissolution experiments.,"Yves Thibault, Joanne Gamage McEvoy",2017-08-04
Presentation,Diesel Particulate Matter - Limits of Exposure and Exposure Data,Michel Grenier,2017-06-29
Presentation,Recouvrements organiques à consommation d'oxygène pour la revégétation des résidus miniers générateurs d'acide: avantages et défis ,"Suzanne Beauchemin, Sean Langley, Yves Thibault, Joyce Clemente, Joanne Gamage McEvoy",2017-06-05
Presentation,A recent advance in ultrasonic monitoring of rockbolt conditionsdeveloped by NRC,Renée Royer,2017-05-29
Presentation,"CanemtMINES - Plan de recherce quinquennal du groupe en controle de terrain, présenté à l'AMQ",Renée Royer,2017-05-29
Presentation,CanmetMINES : Recherche et développement ,Martin Cote,2017-05-17
Presentation,Mesure de la consommation énergétique d’un système de ventilation ,Michelle Levesque,2017-05-15
Presentation,Étalonnage du procédé de traitement ,Michelle Levesque,2017-05-11
Presentation,Outil de calculs des pertes d'énergie d'un circuit de broyage,Gilles Leblanc,2017-05-11
Presentation,CanmetMINING's recent developments on ground control techniques for improving mine safety,"Kristie Tarr, Renée Royer, Denis Labrie, Ian Bedard",2017-04-12
Presentation,"Impact of Water Regime and Nitrate on Sulfide Oxidation, Update: Extractions","Joyce Clemente, S. Beauchemin, T. MacKinnon, A. Khandelwal ",2017-03-17
Presentation,Microbial Characterization of Cu-Ni Tailings Under Three Different Management Scenarios ,Sean Langley,2017-03-16
Presentation,Determining rates of metal removal from the water column for aquatic hazard classification,Philippa Huntsman-Mapila,2017-02-14
Presentation,Probing crystal chemistry properties that impact flotation selectivity: Collector-mineral interaction experiments in synthetic REE-orthophosphate systems,Joanne Gamage McEvoy,2017-02-02
Presentation,IDENTIFICATION DU POTENTIEL DE RÉCUPÉRATION D'ÉNERGIE DES CIRCUITS DE BROYAGE - ETUDE DE CAS AGNICO-EAGLE DIVISION GOLDEX ,Gilles Leblanc,2016-12-16
Presentation,CanmetMINING Energy Recovery Tool - Quick Tour,Gilles Leblanc,2016-11-09
Presentation,Evaluating the fate and effects of selenium in lab-cultured and field-collected biofilms,"Carrie Rickwood, Philippa Huntsman-Mapila",2016-11-04
Presentation,Working with Biohazards at 555 Booth,Sean Langley and Suzanne Beauchemin,2016-11-04
Presentation,Energy management strategies in auxiliary mine ventilation systems,Michelle Levesque,2016-09-19
Presentation,CCRMP highlights 2015 to 2016,Maureen Leaver,2016-08-29
Presentation,Observations on CCRMP and PTP-MAL Data,Maureen Leaver,2016-08-25
Presentation,"NOAMI, Abandoned Mines and Ecotourism",Gilles Tremblay,2016-07-15
Presentation,Ventilation system management – the balance between energy conservation and air quality,Michelle Levesque,2016-07-12
Presentation,Evolution of Cr and Fe species during carbothermic reduction of chromite ores,Dogan Paktunc,2016-06-09
Presentation,CanmetMINING Energy managment initiatives for the mining sector,"Levesque, Michelle ",2016-05-25
Presentation,Acute toxicity of RE lanthanides to two daphnid species,Melissa Desforges,2016-05-04
Presentation,Acute toxicity of RE lanthanides to two daphnid species,Melissa Desforges,2016-05-04
Presentation,"22nd Annual BC/MEND ML/ARD Workshop, Vancouver, B.C. ",Gilles Tremblay,2016-02-16
Presentation, Experience of Canadian Partnership Programs – MEND and NOAMI  ,Gilles Tremblay,2016-02-16
Presentation,Défis et meilleures pratiques pour le drainage rocheux – Études de cas canadiens – programme NEDEM ,Gilles Tremblay,2016-02-16
Presentation,MEND Program Update ,Gilles Tremblay,2016-02-16
Presentation,Update on the National Orphaned and Abandoned Mines Initiative (NOAMI) ,Gilles Tremblay,2016-02-16
Presentation, The Canadian MEND Program – 1989-2015 ,Gilles Tremblay,2016-02-15
Presentation,Environmental Challenges and Opportunities for the Mining Industry ,Gilles Tremblay,2016-02-15
Presentation,GMIAC - Pilot Project on Energy Saving ,Gilles Leblanc,2016-02-04
Presentation,GMIAC - Projet pilot sur les economies d'énergie des circuits de broyage ,Gilles Leblanc,2016-02-04
Presentation,GMIAC Pilot Project on Energy Saving - Early Progress Report ,Gilles Leblanc,2016-02-04
Presentation, Canada’s National Orphaned and Abandoned Mines Initiative (NOAMI) ,Gilles Tremblay,2016-02-02
Presentation,Drop load (dynamic) testing of complete Ground Control Systems,Roger Lacroix,2015-12-01
Presentation,"Innovation in Mine Water Management: Remote, Real-time Sensors for Water Quality Monitoring",Philippa Huntsman-Mapila,2015-11-17
Presentation,Update on Diesel Particulate Matter Control Efforts in Canadian Mine,Michel Grenier,2015-10-14
Presentation,L'introduction de l'hydrogène dans les mines,Martin Côté,2015-10-08
Presentation,"INNOVATIVE PROCESS FOR ACTINIDE AND RARE EARTH ELEMENTS RECOVERY FROM NUCLEAR WASTES, MINE WASTES AND ORE CONCENTRATE",Nicolas Reynier,2015-09-22
Presentation,CCRMP Highlights 2014 to 2015,Maureen Leaver,2015-09-01
Presentation,Observations  on CCRMP Data ,Maureen Leaver,2015-09-01
Presentation,Acti-Gel®208 as an additive for paste and hydraulic backfill,Ian Bedard,2015-06-15
Presentation,"High Performance Synthetic Ropes for Mine Hoisting, Presentation to PSTC May 25th 2015",Raymond Gaetan,2015-05-15
Presentation,Reducing the Barriers to the Adoption of Energy Management Technology in U/G Mines - ETV Certification for Green Mining Technology,"Grenier, Michel",2015-04-22
